date,amount,price,sid,symbol,value
2023-05-05 10:20:00+00:00,-27.754256787761083,29096.4,0,Kraken,807548.9571994116
2023-05-05 10:20:00+00:00,-0.27009792155239865,21175.57,1,Coinbase,5719.477444687326
2023-05-05 10:20:00+00:00,28.02435470931348,20764.0,2,Bitstamp,-581897.7011841851
2023-05-05 10:21:00+00:00,-38.78602170091412,29096.400000000005,0,Kraken,1128533.6018184777
2023-05-05 10:21:00+00:00,-0.3774564718779594,21175.57,1,Coinbase,7992.85594220476
2023-05-05 10:21:00+00:00,39.163478172792075,20764.0,2,Bitstamp,-813190.4607798547
2023-05-05 10:22:00+00:00,-54.20269369443764,29096.4,0,Kraken,1577103.2568108356
2023-05-05 10:22:00+00:00,-0.527487910101943,21175.57,1,Coinbase,11169.8571645174
2023-05-05 10:22:00+00:00,54.73018160453959,20764.0,2,Bitstamp,-1136417.49083666
2023-05-05 10:23:00+00:00,-75.74718609678365,29096.400000000005,0,Kraken,2203970.425546456
2023-05-05 10:23:00+00:00,-0.7371538602037404,21175.57,1,Coinbase,15609.65316751452
2023-05-05 10:23:00+00:00,76.48433995698738,20764.0,2,Bitstamp,-1588120.834866886
2023-05-05 10:24:00+00:00,-105.85518560989115,29104.3,0,Kraken,3080841.078545955
2023-05-05 10:24:00+00:00,-1.030157854249687,21175.57,1,Coinbase,21814.179753714045
2023-05-05 10:24:00+00:00,106.88534346414083,20764.0,2,Bitstamp,-2219367.27168942
2023-05-05 10:25:00+00:00,-147.97038865731878,29134.199999999997,0,Kraken,4310998.8972200565
2023-05-05 10:25:00+00:00,-1.4400131386428114,21175.57,1,Coinbase,30493.09901825056
2023-05-05 10:25:00+00:00,149.41040179596158,20764.0,2,Bitstamp,-3102357.582891346
2023-05-05 10:26:00+00:00,-207.05236216115372,29124.499999999996,0,Kraken,6030296.521762521
2023-05-05 10:26:00+00:00,-2.014985056162729,21175.57,1,Coinbase,42668.4571057278
2023-05-05 10:26:00+00:00,209.06734721731644,20764.0,2,Bitstamp,-4341074.3976203585
2023-05-05 10:27:00+00:00,-289.62896751621633,29125.0,0,Kraken,8435443.678909801
2023-05-05 10:27:00+00:00,-2.8186012237947295,21175.57,1,Coinbase,59685.48751655096
2023-05-05 10:27:00+00:00,292.4475687400111,20764.0,2,Bitstamp,-6072381.31731759
2023-05-05 10:28:00+00:00,-405.14567231088586,29133.899999999998,0,Kraken,11803473.502538117
2023-05-05 10:28:00+00:00,-3.9427827181225155,21175.57,1,Coinbase,83490.67144239359
2023-05-05 10:28:00+00:00,409.08845502900834,20764.0,2,Bitstamp,-8494312.680222329
2023-05-05 10:29:00+00:00,-566.9074178511105,29129.099999999995,0,Kraken,16513502.865326779
2023-05-05 10:29:00+00:00,-5.517010109301282,21175.57,1,Coinbase,116825.83376021695
2023-05-05 10:29:00+00:00,572.4244279604118,20764.0,2,Bitstamp,-11885820.82216999
2023-05-05 10:30:00+00:00,-793.1257244798506,29145.300000000003,0,Kraken,23115887.177682593
2023-05-05 10:30:00+00:00,-7.718513644588484,21175.57,1,Coinbase,163443.92597693857
2023-05-05 10:30:00+00:00,800.8442381244391,20764.0,2,Bitstamp,-16628729.760415854
2023-05-05 10:31:00+00:00,-1110.226636304878,29131.9,0,Kraken,32343011.346170075
2023-05-05 10:31:00+00:00,-10.804465391063559,21175.57,1,Coinbase,228790.71320104375
2023-05-05 10:31:00+00:00,1121.0311016959415,20764.0,2,Bitstamp,-23277089.79561453
2023-05-05 10:32:00+00:00,-1553.398852150095,29130.199999999997,0,Kraken,45250819.242902696
2023-05-05 10:32:00+00:00,-15.117313517566117,21175.57,1,Coinbase,320117.73060316755
2023-05-05 10:32:00+00:00,1568.5161656676612,20764.0,2,Bitstamp,-32568669.663923316
2023-05-05 10:33:00+00:00,-2173.347426251585,29125.100000000002,0,Kraken,63298961.124320045
2023-05-05 10:33:00+00:00,-21.150507726824344,21175.57,1,Coinbase,447874.0569049098
2023-05-05 10:33:00+00:00,2194.4979339784095,20764.0,2,Bitstamp,-45566555.10112769
2023-05-05 10:34:00+00:00,-3040.1838359380345,29129.1,0,Kraken,88557818.97542259
2023-05-05 10:34:00+00:00,-29.586356482302335,21175.57,1,Coinbase,626507.9627359469
2023-05-05 10:34:00+00:00,3069.7701924203366,20764.0,2,Bitstamp,-63740708.27541587
2023-05-05 10:35:00+00:00,-4253.336491115664,29122.700000000008,0,Kraken,123868642.62981418
2023-05-05 10:35:00+00:00,-41.39247376351659,21175.57,1,Coinbase,876509.225652509
2023-05-05 10:35:00+00:00,4294.728964879181,20764.0,2,Bitstamp,-89175752.22675131
2023-05-05 10:36:00+00:00,-5949.286747823326,29104.0,0,Kraken,173148041.50865006
2023-05-05 10:36:00+00:00,-57.89706413665863,21175.57,1,Coinbase,1226003.3344203043
2023-05-05 10:36:00+00:00,6007.183811959984,20764.0,2,Bitstamp,-124733164.67153712
2023-05-05 10:37:00+00:00,-8316.165704142293,29102.999999999996,0,Kraken,242025370.48765314
2023-05-05 10:37:00+00:00,-80.93097535094785,21175.57,1,Coinbase,1713759.5337122707
2023-05-05 10:37:00+00:00,8397.096679493241,20764.0,2,Bitstamp,-174357315.45299765
2023-05-05 10:38:00+00:00,-11624.293124237192,29101.199999999997,0,Kraken,338280879.06705135
2023-05-05 10:38:00+00:00,-113.12489598917364,21175.57,1,Coinbase,2395484.1537614656
2023-05-05 10:38:00+00:00,11737.418020226365,20764.0,2,Bitstamp,-243715747.77198026
2023-05-05 10:39:00+00:00,-16247.37876463205,29101.1,0,Kraken,472816594.16743374
2023-05-05 10:39:00+00:00,-158.11568180549693,21175.57,1,Coinbase,3348189.6881700265
2023-05-05 10:39:00+00:00,16405.494446437548,20764.0,2,Bitstamp,-340643686.6858292
2023-05-05 10:40:00+00:00,-22709.029563731696,29101.8,0,Kraken,660873636.5578071
2023-05-05 10:40:00+00:00,-220.9989527927337,21175.57,1,Coinbase,4679778.794789228
2023-05-05 10:40:00+00:00,22930.02851652443,20764.0,2,Bitstamp,-476119112.1171133
2023-05-05 10:41:00+00:00,-31741.26397181797,29108.0,0,Kraken,923924711.6916775
2023-05-05 10:41:00+00:00,-308.8985409263296,21175.57,1,Coinbase,6541102.676283357
2023-05-05 10:41:00+00:00,32050.162512744297,20764.0,2,Bitstamp,-665489574.4146225
2023-05-05 10:42:00+00:00,-44375.34064618226,29096.3,0,Kraken,1291158224.0435128
2023-05-05 10:42:00+00:00,-431.8504137354066,21175.57,1,Coinbase,9144678.665583065
2023-05-05 10:42:00+00:00,44807.19105991767,20764.0,2,Bitstamp,-930376515.1681305
2023-05-05 10:43:00+00:00,-62013.44414137181,29096.4,0,Kraken,1804367976.1150107
2023-05-05 10:43:00+00:00,-603.5003026374143,21175.57,1,Coinbase,12779462.90351975
2023-05-05 10:43:00+00:00,62616.94444400922,20764.0,2,Bitstamp,-1300178234.4354074
2023-05-05 10:44:00+00:00,-86662.5544545775,29099.499999999996,0,Kraken,2521837003.350978
2023-05-05 10:44:00+00:00,-843.3796665355112,21175.57,1,Coinbase,17859045.165299375
2023-05-05 10:44:00+00:00,87505.93412111301,20764.0,2,Bitstamp,-1816973216.0907905
2023-05-05 10:45:00+00:00,-121122.00516149851,29097.2,0,Kraken,3524311208.5851545
2023-05-05 10:45:00+00:00,-1178.730963633876,21175.57,1,Coinbase,24960300.031596594
